"rank_abs_delta","parid","county","acres_2020","acres_2026","n_tcc_pixels","mean_tcc_2020","mean_tcc_2025","delta_pp","abs_delta_pp","owner_type_2020","owner_type_2026","owner_type_changed","still_in_cfp_2026"
151,"23281","Keweenaw",80,80,351,57.7834757834758,74.6780626780627,16.8945868945869,16.8945868945869,"Forest Industry","Forest Industry",FALSE,TRUE
152,"864","Houghton",20,20,88,65.5,82.3636363636364,16.8636363636364,16.8636363636364,"Private Individual(s)","Trust",TRUE,TRUE
153,"17641","Houghton",40,40,182,64.3736263736264,81.1483516483516,16.7747252747253,16.7747252747253,"Forest Industry","Forest Industry",FALSE,TRUE
154,"5205","Keweenaw",40,40,181,74.1823204419889,57.4419889502762,-16.7403314917127,16.7403314917127,"Forest Industry","Forest Industry",FALSE,TRUE
155,"10332","Houghton",160,160,746,80.0187667560322,63.3941018766756,-16.6246648793566,16.6246648793566,"Forest Industry","Forest Industry",FALSE,TRUE
156,"28973","Houghton",40,40,160,58.91875,75.50625,16.5875,16.5875,"Forest Industry","Private Individual(s)",TRUE,TRUE
157,"22077","Houghton",84.56,84.56,386,68.979274611399,52.4818652849741,-16.4974093264249,16.4974093264249,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
158,"18907","Houghton",37.1,37.1,178,63.0112359550562,79.2640449438202,16.252808988764,16.252808988764,"Forest Industry","Other",TRUE,TRUE
159,"11975","Keweenaw",160,160,714,62.1498599439776,78.3655462184874,16.2156862745098,16.2156862745098,"Forest Industry","Forest Industry",FALSE,TRUE
160,"27243","Houghton",82.51,82.51,362,78.0718232044199,61.9281767955801,-16.1436464088398,16.1436464088398,"Forest Industry","Forest Industry",FALSE,TRUE
161,"16105","Houghton",78.19,78.19,349,74.8452722063037,58.785100286533,-16.0601719197708,16.0601719197708,"Forest Industry","Forest Industry",FALSE,TRUE
162,"32266","Keweenaw",240,240,1069,81.5687558465856,65.5453695042095,-16.023386342376,16.023386342376,"Forest Industry","Forest Industry",FALSE,TRUE
163,"32627","Houghton",141.4,141.4,641,52.6458658346334,68.5288611544462,15.8829953198128,15.8829953198128,"Private Individual(s)","Forest Industry",TRUE,TRUE
164,"21448","Keweenaw",40,40,178,43.5730337078652,59.4213483146067,15.8483146067416,15.8483146067416,"Forest Industry","Other Business",TRUE,TRUE
165,"33226","Houghton",80,80,350,66.8142857142857,82.5257142857143,15.7114285714286,15.7114285714286,"Other Business","Other Business",FALSE,TRUE
166,"10338","Houghton",480,480,2199,78.6707594361073,62.9809004092769,-15.6898590268304,15.6898590268304,"Forest Industry","Forest Industry",FALSE,TRUE
167,"26760","Houghton",40,40,180,84.2111111111111,68.5444444444445,-15.6666666666667,15.6666666666667,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
